?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q11801484>	"John Gurdon Rebow"@en			<http://www.wikidata.org/entity/Q56189401>	"Colchester"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11801938>	"Sir Edward Dering, 8th Baronet"@en			<http://www.wikidata.org/entity/Q5328697>	"East Kent"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11802338>	"Sir John Thorold, 12th Baronet"@en			<http://www.wikidata.org/entity/Q56189484>	"Grantham"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11802686>	"Sir Matthew White Ridley, 4th Baronet"@en			<http://www.wikidata.org/entity/Q7056200>	"North Northumberland"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11803033>	"Ralph Neville-Grenville"@en			<http://www.wikidata.org/entity/Q56189349>	"East Somerset"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11803195>	"John Henniker-Major, 4th Baron Henniker"@en			<http://www.wikidata.org/entity/Q5329450>	"East Suffolk"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1866-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		
<http://www.wikidata.org/entity/Q11803732>	"Sir Thomas Winnington, 4th Baronet"@en			<http://www.wikidata.org/entity/Q4899742>	"Bewdley"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11806930>	"Robert Jardine"@en			<http://www.wikidata.org/entity/Q47517304>	"Ashburton"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11806952>	"Henry Munro-Butler-Johnstone"@en			<http://www.wikidata.org/entity/Q56189405>	"Canterbury"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q12066246>	"Henry Portman, 2nd Viscount Portman"@en			<http://www.wikidata.org/entity/Q5298834>	"Dorset"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q12072266>	"Henry Vivian, 1st Baron Swansea"@en			<http://www.wikidata.org/entity/Q5566551>	"Glamorganshire"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1217502>	"Hugh Childers"@en			<http://www.wikidata.org/entity/Q56189466>	"Pontefract"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1242682>	"Lord Ronald Gower"@en			<http://www.wikidata.org/entity/Q7649960>	"Sutherland"@en			"1867-05-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1282069>	"Edward Gordon, Baron Gordon of Drumearn"@en			<http://www.wikidata.org/entity/Q7783561>	"Thetford"@en			"1867-12-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13132369>	"William Owen Stanley"@en			<http://www.wikidata.org/entity/Q4877528>	"Beaumaris"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529860>	"Alexander Henry Campbell"@en			<http://www.wikidata.org/entity/Q6498334>	"Launceston"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-04-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q13529921>	"Lawrence Palk, 1st Baron Haldon"@en			<http://www.wikidata.org/entity/Q7567036>	"South Devon"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529930>	"Sir William Hart Dyke, 7th Baronet"@en			<http://www.wikidata.org/entity/Q7985607>	"West Kent"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529938>	"Lord Augustus Hervey"@en			<http://www.wikidata.org/entity/Q26159921>	"Western Division of Suffolk"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529945>	"Thomas Horsfall"@en			<http://www.wikidata.org/entity/Q56166279>	"Liverpool"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529962>	"John Laird"@en			<http://www.wikidata.org/entity/Q45593009>	"Birkenhead"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529986>	"Lord George Manners"@en			<http://www.wikidata.org/entity/Q42298207>	"Cambridgeshire"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13530009>	"Gerard Noel"@en			<http://www.wikidata.org/entity/Q56185627>	"Rutland"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13530071>	"Henry Wickham Wickham"@en			<http://www.wikidata.org/entity/Q4954575>	"Bradford"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1867-09-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5247364>	"death in office"@en
<http://www.wikidata.org/entity/Q13581086>	"John St Aubyn, 1st Baron St Levan"@en			<http://www.wikidata.org/entity/Q7984874>	"West Cornwall"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13582499>	"Henry Howard, 18th Earl of Suffolk"@en			<http://www.wikidata.org/entity/Q6744359>	"Malmesbury"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1441538>	"Francis Goldsmid"@en			<http://www.wikidata.org/entity/Q42890987>	"Reading"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q149062>	"Samuel Morton Peto"@en			<http://www.wikidata.org/entity/Q4968765>	"Bristol"@en			"1865-07-15T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-04-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		
<http://www.wikidata.org/entity/Q14948913>	"Richard Davey"@en			<http://www.wikidata.org/entity/Q7984874>	"West Cornwall"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15039933>	"John George"@en			<http://www.wikidata.org/entity/Q5177778>	"County Wexford"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en		<http://www.wikidata.org/entity/Q46993416>	"appointed as a judge"@en
<http://www.wikidata.org/entity/Q15109496>	"Julian Goldsmid"@en			<http://www.wikidata.org/entity/Q56189451>	"Honiton"@en			"1866-03-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15109540>	"Henry Winterbotham"@en			<http://www.wikidata.org/entity/Q43039860>	"Stroud"@en			"1867-08-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15434224>	"John Benjamin Smith"@en			<http://www.wikidata.org/entity/Q43288260>	"Stockport"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15452761>	"John Abel Smith"@en			<http://www.wikidata.org/entity/Q56185655>	"Chichester"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15497087>	"Joseph d'Aguilar Samuda"@en			<http://www.wikidata.org/entity/Q56189470>	"Tavistock"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15526648>	"Frederick Goldsmid"@en			<http://www.wikidata.org/entity/Q56189451>	"Honiton"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1866-03-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5247364>	"death in office"@en
<http://www.wikidata.org/entity/Q15616177>	"George Hussey Packe"@en			<http://www.wikidata.org/entity/Q7567823>	"South Lincolnshire"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1574706>	"John Coleridge, 1st Baron Coleridge"@en			<http://www.wikidata.org/entity/Q56189413>	"Exeter"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en	"1868-11-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q15985286>	"Granville William Gresham Leveson-Gower"@en			<http://www.wikidata.org/entity/Q47517315>	"Reigate"@en			"1865-07-11T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q2074533>	"United Kingdom general election, 1865"@en			
